_,Country,Tot\.Area__Km_._,Tot\.Area__Km_.realName,Tot\.Area__mi_._,Tot\.Area__mi_.realName,LandArea__Km_._,LandArea__Km_.realName,LandArea__mi_._,LandArea__mi_.realName,_ofworld_landmass
"
  ,113
  
  
  
  
  
  
",Serbia,"88,361",Tot.Area__Km²_,"34,116",Tot.Area__mi²_,"87,460",LandArea__Km²_,"33,768",LandArea__mi²_,0.10%
"
  ,114
  
  
  
  
  
  
",Azerbaijan,"86,600",Tot.Area__Km²_,"33,436",Tot.Area__mi²_,"82,658",LandArea__Km²_,"31,914",LandArea__mi²_,0.10%
"
  ,115
  
  
  
  
  
  
",Austria,"83,871",Tot.Area__Km²_,"32,383",Tot.Area__mi²_,"82,409",LandArea__Km²_,"31,818",LandArea__mi²_,0.10%
"
  ,116
  
  
  
  
  
  
",United Arab Emirates,"83,600",Tot.Area__Km²_,"32,278",Tot.Area__mi²_,"83,600",LandArea__Km²_,"32,278",LandArea__mi²_,0.10%
"
  ,117
  
  
  
  
  
  
",French Guiana,"83,534",Tot.Area__Km²_,"32,253",Tot.Area__mi²_,"82,200",LandArea__Km²_,"31,738",LandArea__mi²_,0.10%
"
  ,118
  
  
  
  
  
  
",Czechia,"78,865",Tot.Area__Km²_,"30,450",Tot.Area__mi²_,"77,240",LandArea__Km²_,"29,823",LandArea__mi²_,0.10%
"
  ,119
  
  
  
  
  
  
",Panama,"75,417",Tot.Area__Km²_,"29,119",Tot.Area__mi²_,"74,340",LandArea__Km²_,"28,703",LandArea__mi²_,0.00%
"
  ,120
  
  
  
  
  
  
",Sierra Leone,"71,740",Tot.Area__Km²_,"27,699",Tot.Area__mi²_,"72,180",LandArea__Km²_,"27,869",LandArea__mi²_,0.00%
"
  ,121
  
  
  
  
  
  
",Ireland,"70,273",Tot.Area__Km²_,"27,133",Tot.Area__mi²_,"68,890",LandArea__Km²_,"26,599",LandArea__mi²_,0.00%
"
  ,122
  
  
  
  
  
  
",Georgia,"69,700",Tot.Area__Km²_,"26,911",Tot.Area__mi²_,"69,490",LandArea__Km²_,"26,830",LandArea__mi²_,0.00%
"
  ,123
  
  
  
  
  
  
",Sri Lanka,"65,610",Tot.Area__Km²_,"25,332",Tot.Area__mi²_,"62,710",LandArea__Km²_,"24,212",LandArea__mi²_,0.00%
"
  ,124
  
  
  
  
  
  
",Lithuania,"65,300",Tot.Area__Km²_,"25,212",Tot.Area__mi²_,"62,674",LandArea__Km²_,"24,199",LandArea__mi²_,0.00%
"
  ,125
  
  
  
  
  
  
",Latvia,"64,559",Tot.Area__Km²_,"24,926",Tot.Area__mi²_,"62,200",LandArea__Km²_,"24,016",LandArea__mi²_,0.00%
"
  ,126
  
  
  
  
  
  
",Togo,"56,785",Tot.Area__Km²_,"21,925",Tot.Area__mi²_,"54,390",LandArea__Km²_,"21,000",LandArea__mi²_,0.00%
"
  ,127
  
  
  
  
  
  
",Croatia,"56,594",Tot.Area__Km²_,"21,851",Tot.Area__mi²_,"55,960",LandArea__Km²_,"21,606",LandArea__mi²_,0.00%
"
  ,128
  
  
  
  
  
  
",Bosnia and Herzegovina,"51,209",Tot.Area__Km²_,"19,772",Tot.Area__mi²_,"51,000",LandArea__Km²_,"19,691",LandArea__mi²_,0.00%
"
  ,129
  
  
  
  
  
  
",Costa Rica,"51,100",Tot.Area__Km²_,"19,730",Tot.Area__mi²_,"51,060",LandArea__Km²_,"19,714",LandArea__mi²_,0.00%
"
  ,130
  
  
  
  
  
  
",Slovakia,"49,037",Tot.Area__Km²_,"18,933",Tot.Area__mi²_,"48,088",LandArea__Km²_,"18,567",LandArea__mi²_,0.00%
"
  ,131
  
  
  
  
  
  
",Dominican Republic,"48,671",Tot.Area__Km²_,"18,792",Tot.Area__mi²_,"48,320",LandArea__Km²_,"18,656",LandArea__mi²_,0.00%
"
  ,132
  
  
  
  
  
  
",Estonia,"45,227",Tot.Area__Km²_,"17,462",Tot.Area__mi²_,"42,390",LandArea__Km²_,"16,367",LandArea__mi²_,0.00%
"
  ,133
  
  
  
  
  
  
",Denmark,"43,094",Tot.Area__Km²_,"16,639",Tot.Area__mi²_,"42,430",LandArea__Km²_,"16,382",LandArea__mi²_,0.00%
"
  ,134
  
  
  
  
  
  
",Netherlands,"41,850",Tot.Area__Km²_,"16,158",Tot.Area__mi²_,"33,720",LandArea__Km²_,"13,019",LandArea__mi²_,0.00%
"
  ,135
  
  
  
  
  
  
",Switzerland,"41,284",Tot.Area__Km²_,"15,940",Tot.Area__mi²_,"39,516",LandArea__Km²_,"15,257",LandArea__mi²_,0.00%
"
  ,136
  
  
  
  
  
  
",Bhutan,"38,394",Tot.Area__Km²_,"14,824",Tot.Area__mi²_,"38,117",LandArea__Km²_,"14,717",LandArea__mi²_,0.00%
"
  ,137
  
  
  
  
  
  
",Taiwan,"36,193",Tot.Area__Km²_,"13,974",Tot.Area__mi²_,"35,410",LandArea__Km²_,"13,672",LandArea__mi²_,0.00%
"
  ,138
  
  
  
  
  
  
",Guinea-Bissau,"36,125",Tot.Area__Km²_,"13,948",Tot.Area__mi²_,"28,120",LandArea__Km²_,"10,857",LandArea__mi²_,0.00%
"
  ,139
  
  
  
  
  
  
",Moldova,"33,846",Tot.Area__Km²_,"13,068",Tot.Area__mi²_,"32,850",LandArea__Km²_,"12,683",LandArea__mi²_,0.00%
"
  ,140
  
  
  
  
  
  
",Belgium,"30,528",Tot.Area__Km²_,"11,787",Tot.Area__mi²_,"30,280",LandArea__Km²_,"11,691",LandArea__mi²_,0.00%
"
  ,141
  
  
  
  
  
  
",Lesotho,"30,355",Tot.Area__Km²_,"11,720",Tot.Area__mi²_,"30,360",LandArea__Km²_,"11,722",LandArea__mi²_,0.00%
"
  ,142
  
  
  
  
  
  
",Armenia,"29,743",Tot.Area__Km²_,"11,484",Tot.Area__mi²_,"28,470",LandArea__Km²_,"10,992",LandArea__mi²_,0.00%
"
  ,143
  
  
  
  
  
  
",Solomon Islands,"28,896",Tot.Area__Km²_,"11,157",Tot.Area__mi²_,"27,990",LandArea__Km²_,"10,807",LandArea__mi²_,0.00%
"
  ,144
  
  
  
  
  
  
",Albania,"28,748",Tot.Area__Km²_,"11,100",Tot.Area__mi²_,"27,400",LandArea__Km²_,"10,579",LandArea__mi²_,0.00%
"
  ,145
  
  
  
  
  
  
",Equatorial Guinea,"28,051",Tot.Area__Km²_,"10,831",Tot.Area__mi²_,"28,050",LandArea__Km²_,"10,830",LandArea__mi²_,0.00%
"
  ,146
  
  
  
  
  
  
",Burundi,"27,834",Tot.Area__Km²_,"10,747",Tot.Area__mi²_,"25,680",LandArea__Km²_,"9,915",LandArea__mi²_,0.00%
"
  ,147
  
  
  
  
  
  
",Haiti,"27,750",Tot.Area__Km²_,"10,714",Tot.Area__mi²_,"27,560",LandArea__Km²_,"10,641",LandArea__mi²_,0.00%
"
  ,148
  
  
  
  
  
  
",Rwanda,"26,338",Tot.Area__Km²_,"10,169",Tot.Area__mi²_,"24,670",LandArea__Km²_,"9,525",LandArea__mi²_,0.00%
"
  ,149
  
  
  
  
  
  
",Republic of North Macedonia,"25,713",Tot.Area__Km²_,"9,928",Tot.Area__mi²_,"25,220",LandArea__Km²_,"9,737",LandArea__mi²_,0.00%
"
  ,150
  
  
  
  
  
  
",Djibouti,"23,200",Tot.Area__Km²_,"8,958",Tot.Area__mi²_,"23,180",LandArea__Km²_,"8,950",LandArea__mi²_,0.00%
"
  ,151
  
  
  
  
  
  
",Belize,"22,966",Tot.Area__Km²_,"8,867",Tot.Area__mi²_,"22,810",LandArea__Km²_,"8,807",LandArea__mi²_,0.00%
"
  ,152
  
  
  
  
  
  
",El Salvador,"21,041",Tot.Area__Km²_,"8,124",Tot.Area__mi²_,"20,720",LandArea__Km²_,"8,000",LandArea__mi²_,0.00%
"
  ,153
  
  
  
  
  
  
",Israel,"20,770",Tot.Area__Km²_,"8,019",Tot.Area__mi²_,"21,640",LandArea__Km²_,"8,355",LandArea__mi²_,0.00%
"
  ,154
  
  
  
  
  
  
",Slovenia,"20,273",Tot.Area__Km²_,"7,827",Tot.Area__mi²_,"20,140",LandArea__Km²_,"7,776",LandArea__mi²_,0.00%
"
  ,155
  
  
  
  
  
  
",New Caledonia,"18,575",Tot.Area__Km²_,"7,172",Tot.Area__mi²_,"18,280",LandArea__Km²_,"7,058",LandArea__mi²_,0.00%
"
  ,156
  
  
  
  
  
  
",Fiji,"18,272",Tot.Area__Km²_,"7,055",Tot.Area__mi²_,"18,270",LandArea__Km²_,"7,054",LandArea__mi²_,0.00%
"
  ,157
  
  
  
  
  
  
",Kuwait,"17,818",Tot.Area__Km²_,"6,880",Tot.Area__mi²_,"17,820",LandArea__Km²_,"6,880",LandArea__mi²_,0.00%
"
  ,158
  
  
  
  
  
  
",Eswatini,"17,364",Tot.Area__Km²_,"6,704",Tot.Area__mi²_,"17,200",LandArea__Km²_,"6,641",LandArea__mi²_,0.00%
"
  ,159
  
  
  
  
  
  
",Timor-Leste,"14,874",Tot.Area__Km²_,"5,743",Tot.Area__mi²_,"14,870",LandArea__Km²_,"5,741",LandArea__mi²_,0.00%
"
  ,160
  
  
  
  
  
  
",Bahamas,"13,943",Tot.Area__Km²_,"5,383",Tot.Area__mi²_,"10,010",LandArea__Km²_,"3,865",LandArea__mi²_,0.00%
"
  ,161
  
  
  
  
  
  
",Montenegro,"13,812",Tot.Area__Km²_,"5,333",Tot.Area__mi²_,"13,450",LandArea__Km²_,"5,193",LandArea__mi²_,0.00%
"
  ,162
  
  
  
  
  
  
",Vanuatu,"12,189",Tot.Area__Km²_,"4,706",Tot.Area__mi²_,"12,190",LandArea__Km²_,"4,707",LandArea__mi²_,0.00%
"
  ,163
  
  
  
  
  
  
",Falkland Islands,"12,173",Tot.Area__Km²_,"4,700",Tot.Area__mi²_,"12,170",LandArea__Km²_,"4,699",LandArea__mi²_,0.00%
"
  ,164
  
  
  
  
  
  
",Qatar,"11,586",Tot.Area__Km²_,"4,473",Tot.Area__mi²_,"11,610",LandArea__Km²_,"4,483",LandArea__mi²_,0.00%
"
  ,165
  
  
  
  
  
  
",Jamaica,"10,991",Tot.Area__Km²_,"4,244",Tot.Area__mi²_,"10,830",LandArea__Km²_,"4,181",LandArea__mi²_,0.00%
"
  ,166
  
  
  
  
  
  
",Gambia,"10,689",Tot.Area__Km²_,"4,127",Tot.Area__mi²_,"10,120",LandArea__Km²_,"3,907",LandArea__mi²_,0.00%
"
  ,167
  
  
  
  
  
  
",Lebanon,"10,452",Tot.Area__Km²_,"4,036",Tot.Area__mi²_,"10,230",LandArea__Km²_,"3,950",LandArea__mi²_,0.00%
"
  ,168
  
  
  
  
  
  
",Cyprus,"9,251",Tot.Area__Km²_,"3,572",Tot.Area__mi²_,"9,240",LandArea__Km²_,"3,568",LandArea__mi²_,0.00%
"
  ,169
  
  
  
  
  
  
",Puerto Rico,"8,870",Tot.Area__Km²_,"3,425",Tot.Area__mi²_,"8,870",LandArea__Km²_,"3,425",LandArea__mi²_,0.00%
"
  ,170
  
  
  
  
  
  
",State of Palestine,"6,220",Tot.Area__Km²_,"2,402",Tot.Area__mi²_,"6,020",LandArea__Km²_,"2,324",LandArea__mi²_,0.00%
"
  ,171
  
  
  
  
  
  
",Brunei Darussalam,"5,765",Tot.Area__Km²_,"2,226",Tot.Area__mi²_,"5,270",LandArea__Km²_,"2,035",LandArea__mi²_,0.00%
"
  ,172
  
  
  
  
  
  
",Trinidad and Tobago,"5,130",Tot.Area__Km²_,"1,981",Tot.Area__mi²_,"5,130",LandArea__Km²_,"1,981",LandArea__mi²_,0.00%
"
  ,173
  
  
  
  
  
  
",French Polynesia,"4,167",Tot.Area__Km²_,"1,609",Tot.Area__mi²_,"3,660",LandArea__Km²_,"1,413",LandArea__mi²_,0.00%
"
  ,174
  
  
  
  
  
  
",Cabo Verde,"4,033",Tot.Area__Km²_,"1,557",Tot.Area__mi²_,"4,030",LandArea__Km²_,"1,556",LandArea__mi²_,0.00%
"
  ,175
  
  
  
  
  
  
",Samoa,"2,842",Tot.Area__Km²_,"1,097",Tot.Area__mi²_,"2,830",LandArea__Km²_,"1,093",LandArea__mi²_,0.00%
"
  ,176
  
  
  
  
  
  
",Luxembourg,"2,586",Tot.Area__Km²_,998,Tot.Area__mi²_,"2,590",LandArea__Km²_,"1,000",LandArea__mi²_,0.00%
"
  ,177
  
  
  
  
  
  
",Réunion,"2,511",Tot.Area__Km²_,970,Tot.Area__mi²_,"2,500",LandArea__Km²_,965,LandArea__mi²_,0.00%
"
  ,178
  
  
  
  
  
  
",Mauritius,"2,040",Tot.Area__Km²_,788,Tot.Area__mi²_,"2,030",LandArea__Km²_,784,LandArea__mi²_,0.00%
"
  ,179
  
  
  
  
  
  
",Comoros,"1,862",Tot.Area__Km²_,719,Tot.Area__mi²_,"1,861",LandArea__Km²_,719,LandArea__mi²_,0.00%
"
  ,180
  
  
  
  
  
  
",Guadeloupe,"1,628",Tot.Area__Km²_,629,Tot.Area__mi²_,"1,690",LandArea__Km²_,653,LandArea__mi²_,0.00%
"
  ,181
  
  
  
  
  
  
",Faeroe Islands,"1,393",Tot.Area__Km²_,538,Tot.Area__mi²_,"1,396",LandArea__Km²_,539,LandArea__mi²_,0.00%
"
  ,182
  
  
  
  
  
  
",Martinique,"1,128",Tot.Area__Km²_,436,Tot.Area__mi²_,"1,060",LandArea__Km²_,409,LandArea__mi²_,0.00%
"
  ,183
  
  
  
  
  
  
","China, Hong Kong SAR","1,104",Tot.Area__Km²_,426,Tot.Area__mi²_,"1,050",LandArea__Km²_,405,LandArea__mi²_,0.00%
"
  ,184
  
  
  
  
  
  
",Sao Tome and Principe,964,Tot.Area__Km²_,372,Tot.Area__mi²_,960,LandArea__Km²_,371,LandArea__mi²_,0.00%
"
  ,185
  
  
  
  
  
  
",Turks and Caicos Islands,948,Tot.Area__Km²_,366,Tot.Area__mi²_,950,LandArea__Km²_,367,LandArea__mi²_,0.00%
"
  ,186
  
  
  
  
  
  
",Kiribati,811,Tot.Area__Km²_,313,Tot.Area__mi²_,810,LandArea__Km²_,313,LandArea__mi²_,0.00%
"
  ,187
  
  
  
  
  
  
",Bahrain,765,Tot.Area__Km²_,295,Tot.Area__mi²_,760,LandArea__Km²_,293,LandArea__mi²_,0.00%
"
  ,188
  
  
  
  
  
  
",Dominica,751,Tot.Area__Km²_,290,Tot.Area__mi²_,750,LandArea__Km²_,290,LandArea__mi²_,0.00%
"
  ,189
  
  
  
  
  
  
",Tonga,747,Tot.Area__Km²_,288,Tot.Area__mi²_,720,LandArea__Km²_,278,LandArea__mi²_,0.00%
"
  ,190
  
  
  
  
  
  
",Singapore,710,Tot.Area__Km²_,274,Tot.Area__mi²_,700,LandArea__Km²_,270,LandArea__mi²_,0.00%
"
  ,191
  
  
  
  
  
  
",Micronesia,702,Tot.Area__Km²_,271,Tot.Area__mi²_,700,LandArea__Km²_,270,LandArea__mi²_,0.00%
"
  ,192
  
  
  
  
  
  
",Saint Lucia,616,Tot.Area__Km²_,238,Tot.Area__mi²_,610,LandArea__Km²_,236,LandArea__mi²_,0.00%
"
  ,193
  
  
  
  
  
  
",Isle of Man,572,Tot.Area__Km²_,221,Tot.Area__mi²_,570,LandArea__Km²_,220,LandArea__mi²_,0.00%
"
  ,194
  
  
  
  
  
  
",Guam,549,Tot.Area__Km²_,212,Tot.Area__mi²_,540,LandArea__Km²_,208,LandArea__mi²_,0.00%
"
  ,195
  
  
  
  
  
  
",Andorra,468,Tot.Area__Km²_,181,Tot.Area__mi²_,470,LandArea__Km²_,181,LandArea__mi²_,0.00%
"
  ,196
  
  
  
  
  
  
",Northern Mariana Islands,464,Tot.Area__Km²_,179,Tot.Area__mi²_,460,LandArea__Km²_,178,LandArea__mi²_,0.00%
"
  ,197
  
  
  
  
  
  
",Palau,459,Tot.Area__Km²_,177,Tot.Area__mi²_,460,LandArea__Km²_,178,LandArea__mi²_,0.00%
"
  ,198
  
  
  
  
  
  
",Seychelles,452,Tot.Area__Km²_,175,Tot.Area__mi²_,460,LandArea__Km²_,178,LandArea__mi²_,0.00%
"
  ,199
  
  
  
  
  
  
",Curaçao,444,Tot.Area__Km²_,171,Tot.Area__mi²_,444,LandArea__Km²_,171,LandArea__mi²_,0.00%
"
  ,200
  
  
  
  
  
  
",Antigua and Barbuda,442,Tot.Area__Km²_,171,Tot.Area__mi²_,440,LandArea__Km²_,170,LandArea__mi²_,0.00%
"
  ,201
  
  
  
  
  
  
",Barbados,430,Tot.Area__Km²_,166,Tot.Area__mi²_,430,LandArea__Km²_,166,LandArea__mi²_,0.00%
"
  ,202
  
  
  
  
  
  
",Saint Helena,394,Tot.Area__Km²_,152,Tot.Area__mi²_,390,LandArea__Km²_,151,LandArea__mi²_,0.00%
"
  ,203
  
  
  
  
  
  
",Saint Vincent and the Grenadines,389,Tot.Area__Km²_,150,Tot.Area__mi²_,390,LandArea__Km²_,151,LandArea__mi²_,0.00%
"
  ,204
  
  
  
  
  
  
",Mayotte,374,Tot.Area__Km²_,144,Tot.Area__mi²_,375,LandArea__Km²_,145,LandArea__mi²_,0.00%
"
  ,205
  
  
  
  
  
  
",United States Virgin Islands,347,Tot.Area__Km²_,134,Tot.Area__mi²_,350,LandArea__Km²_,135,LandArea__mi²_,0.00%
"
  ,206
  
  
  
  
  
  
",Grenada,344,Tot.Area__Km²_,133,Tot.Area__mi²_,340,LandArea__Km²_,131,LandArea__mi²_,0.00%
"
  ,207
  
  
  
  
  
  
",Caribbean Netherlands,328,Tot.Area__Km²_,127,Tot.Area__mi²_,328,LandArea__Km²_,127,LandArea__mi²_,0.00%
"
  ,208
  
  
  
  
  
  
",Malta,316,Tot.Area__Km²_,122,Tot.Area__mi²_,320,LandArea__Km²_,124,LandArea__mi²_,0.00%
"
  ,209
  
  
  
  
  
  
",Maldives,300,Tot.Area__Km²_,116,Tot.Area__mi²_,300,LandArea__Km²_,116,LandArea__mi²_,0.00%
"
  ,210
  
  
  
  
  
  
",Cayman Islands,264,Tot.Area__Km²_,102,Tot.Area__mi²_,240,LandArea__Km²_,93,LandArea__mi²_,0.00%
"
  ,211
  
  
  
  
  
  
",Saint Kitts and Nevis,261,Tot.Area__Km²_,101,Tot.Area__mi²_,260,LandArea__Km²_,100,LandArea__mi²_,0.00%
"
  ,212
  
  
  
  
  
  
",Niue,260,Tot.Area__Km²_,100,Tot.Area__mi²_,260,LandArea__Km²_,100,LandArea__mi²_,0.00%
"
  ,213
  
  
  
  
  
  
",Saint Pierre and Miquelon,242,Tot.Area__Km²_,93,Tot.Area__mi²_,230,LandArea__Km²_,89,LandArea__mi²_,0.00%
"
  ,214
  
  
  
  
  
  
",Cook Islands,236,Tot.Area__Km²_,91,Tot.Area__mi²_,240,LandArea__Km²_,93,LandArea__mi²_,0.00%
"
  ,215
  
  
  
  
  
  
",American Samoa,199,Tot.Area__Km²_,77,Tot.Area__mi²_,200,LandArea__Km²_,77,LandArea__mi²_,0.00%
"
  ,216
  
  
  
  
  
  
",Marshall Islands,181,Tot.Area__Km²_,70,Tot.Area__mi²_,180,LandArea__Km²_,69,LandArea__mi²_,0.00%
"
  ,217
  
  
  
  
  
  
",Aruba,180,Tot.Area__Km²_,69,Tot.Area__mi²_,180,LandArea__Km²_,69,LandArea__mi²_,0.00%
"
  ,218
  
  
  
  
  
  
",Liechtenstein,160,Tot.Area__Km²_,62,Tot.Area__mi²_,160,LandArea__Km²_,62,LandArea__mi²_,0.00%
"
  ,219
  
  
  
  
  
  
",British Virgin Islands,151,Tot.Area__Km²_,58,Tot.Area__mi²_,150,LandArea__Km²_,58,LandArea__mi²_,0.00%
"
  ,220
  
  
  
  
  
  
",Wallis and Futuna Islands,142,Tot.Area__Km²_,55,Tot.Area__mi²_,140,LandArea__Km²_,54,LandArea__mi²_,0.00%
"
  ,221
  
  
  
  
  
  
",Montserrat,102,Tot.Area__Km²_,39,Tot.Area__mi²_,100,LandArea__Km²_,39,LandArea__mi²_,0.00%
"
  ,222
  
  
  
  
  
  
",Anguilla,91,Tot.Area__Km²_,35,Tot.Area__mi²_,90,LandArea__Km²_,35,LandArea__mi²_,0.00%
"
  ,223
  
  
  
  
  
  
",San Marino,61,Tot.Area__Km²_,24,Tot.Area__mi²_,60,LandArea__Km²_,23,LandArea__mi²_,0.00%
"
  ,224
  
  
  
  
  
  
",Bermuda,54,Tot.Area__Km²_,21,Tot.Area__mi²_,50,LandArea__Km²_,19,LandArea__mi²_,0.00%
"
  ,225
  
  
  
  
  
  
",Saint Martin,53,Tot.Area__Km²_,20,Tot.Area__mi²_,53,LandArea__Km²_,20,LandArea__mi²_,0.00%
"
  ,226
  
  
  
  
  
  
",Sint Maarten,34,Tot.Area__Km²_,13,Tot.Area__mi²_,34,LandArea__Km²_,13,LandArea__mi²_,0.00%
"
  ,227
  
  
  
  
  
  
","China, Macao SAR",30,Tot.Area__Km²_,12,Tot.Area__mi²_,30,LandArea__Km²_,12,LandArea__mi²_,0.00%
"
  ,228
  
  
  
  
  
  
",Tuvalu,26,Tot.Area__Km²_,10,Tot.Area__mi²_,30,LandArea__Km²_,12,LandArea__mi²_,0.00%
"
  ,229
  
  
  
  
  
  
",Saint Barthélemy,21,Tot.Area__Km²_,8,Tot.Area__mi²_,21,LandArea__Km²_,8,LandArea__mi²_,0.00%
"
  ,229
  
  
  
  
  
  
",Nauru,21,Tot.Area__Km²_,8,Tot.Area__mi²_,20,LandArea__Km²_,8,LandArea__mi²_,0.00%
"
  ,230
  
  
  
  
  
  
",Tokelau,12,Tot.Area__Km²_,5,Tot.Area__mi²_,10,LandArea__Km²_,4,LandArea__mi²_,0.00%
"
  ,231
  
  
  
  
  
  
",Gibraltar,6,Tot.Area__Km²_,2,Tot.Area__mi²_,10,LandArea__Km²_,4,LandArea__mi²_,0.00%
"
  ,232
  
  
  
  
  
  
",Monaco,2,Tot.Area__Km²_,1,Tot.Area__mi²_,1,LandArea__Km²_,1,LandArea__mi²_,0.00%
"
  ,233
  
  
  
  
  
  
",Holy See,0,Tot.Area__Km²_,0,Tot.Area__mi²_,0,LandArea__Km²_,0,LandArea__mi²_,0.00%
"
  ,234
  
  
  
  
  
  
",Channel Islands,0,Tot.Area__Km²_,0,Tot.Area__mi²_,190,LandArea__Km²_,73,LandArea__mi²_,0.00%